symptom,home_remedies
itching,"Keep skin clean and dry;Apply calamine lotion;Avoid harsh soaps"
skin_rash,"Use cool compress;Avoid scratching;Apply soothing moisturizer"
nodal_skin_eruptions,"Wash affected area gently;Avoid tight clothing;Keep nails short"
continuous_sneezing,"Steam inhalation;Warm fluids;Avoid dust and pollen"
shivering,"Keep body warm;Drink warm fluids;Rest well"
chills,"Use warm blanket;Hydrate regularly;Monitor temperature"
joint_pain,"Warm compress;Gentle stretching;Avoid overuse"
stomach_pain,"Eat bland food;Use warm compress;Avoid oily/spicy meals"
acidity,"Eat small meals;Avoid late-night eating;Drink water regularly"
ulcers_on_tongue,"Rinse with salt water;Avoid spicy food;Maintain oral hygiene"
muscle_wasting,"Increase protein intake;Light physiotherapy;Consult nutrition plan"
vomiting,"Take ORS in small sips;Avoid solid food for short period;Rest"
burning_micturition,"Drink plenty of water;Avoid caffeine;Maintain hygiene"
fatigue,"Take adequate rest;Hydrate;Balanced meals"
weight_loss,"Increase calorie-dense healthy foods;Eat frequent meals;Track weight"
anxiety,"Practice deep breathing;Reduce caffeine;Sleep on schedule"
cold_hands_and_feets,"Keep extremities warm;Do light activity;Layer clothing"
mood_swings,"Maintain sleep routine;Regular exercise;Mindfulness practice"
weight_gain,"Control portions;Daily walking;Limit sugary food"
restlessness,"Breathing exercises;Reduce screen time at night;Hydration"
lethargy,"Light physical movement;Balanced hydration;Short rest breaks"
patches_in_throat,"Warm saline gargle;Warm fluids;Avoid cold drinks"
irregular_sugar_level,"Timed meals;Limit refined sugar;Monitor glucose"
cough,"Warm water with honey;Steam inhalation;Avoid smoke exposure"
high_fever,"Hydrate frequently;Sponge bath with lukewarm water;Complete rest"
sunken_eyes,"Hydrate with ORS;Rest;Seek hydration support"
breathlessness,"Sit upright;Slow deep breathing;Avoid exertion"
sweating,"Hydrate with electrolytes;Wear light cotton clothes;Rest in cool place"
dehydration,"ORS and water;Frequent fluid intake;Avoid excess heat"
indigestion,"Eat light meals;Avoid fried food;Walk after meals"
headache,"Hydration;Rest in dark room;Cold or warm compress"
yellowish_skin,"Hydrate and rest;Avoid alcohol;Low-fat diet"
dark_urine,"Increase water intake;Avoid dehydration;Monitor urine color"
nausea,"Take bland food;Ginger tea;Small frequent meals"
loss_of_appetite,"Small frequent meals;Light soups;Avoid heavy oily foods"
pain_behind_the_eyes,"Rest eyes;Hydration;Limit screen exposure"
back_pain,"Posture correction;Warm compress;Gentle stretching"
constipation,"Increase fiber;Drink water;Regular walk"
abdominal_pain,"Bland diet;Warm compress;Hydrate"
diarrhoea,"ORS intake;Avoid dairy and oily food;Rest"
mild_fever,"Hydration;Rest;Light meals"
yellow_urine,"Increase water intake;Avoid dehydration;Monitor symptoms"
yellowing_of_eyes,"Rest and hydration;Avoid alcohol;Low-fat diet"
acute_liver_failure,"Do not self-medicate;Hydrate;Urgent doctor consultation"
fluid_overload,"Reduce salt intake;Elevate legs;Track fluid intake"
swelling_of_stomach,"Light meals;Avoid gas-forming foods;Medical review if persistent"
swelled_lymph_nodes,"Warm compress;Rest;Hydration"
malaise,"Rest;Hydration;Nutritious meals"
blurred_and_distorted_vision,"Reduce screen strain;Good lighting;Eye rest"
phlegm,"Steam inhalation;Warm fluids;Salt-water gargle"
throat_irritation,"Warm saline gargle;Avoid cold drinks;Hydration"
redness_of_eyes,"Cold compress;Avoid rubbing eyes;Use clean water rinse"
sinus_pressure,"Steam inhalation;Warm compress;Hydration"
runny_nose,"Warm fluids;Saline drops;Rest"
congestion,"Steam inhalation;Hydration;Use humidifier"
chest_pain,"Stop activity immediately;Sit and rest;Seek urgent care if severe"
weakness_in_limbs,"Rest and hydration;Avoid strain;Doctor evaluation if persists"
fast_heart_rate,"Deep breathing;Hydrate;Avoid caffeine"
pain_during_bowel_movements,"High-fiber diet;Warm sitz bath;Hydration"
pain_in_anal_region,"Warm sitz bath;Avoid straining;Fiber intake"
bloody_stool,"Hydrate;Avoid spicy food;Prompt doctor consultation"
irritation_in_anus,"Keep area clean and dry;Warm sitz bath;Avoid scratching"
neck_pain,"Posture support;Warm compress;Gentle neck stretches"
dizziness,"Sit or lie down;Hydrate;Avoid sudden standing"
cramps,"Hydrate with electrolytes;Gentle stretching;Warm compress"
bruising,"Cold compress initially;Rest affected area;Observe for progression"
obesity,"Balanced calorie deficit diet;Daily exercise;Sleep management"
swollen_legs,"Leg elevation;Reduce salt;Regular walking"
swollen_blood_vessels,"Avoid prolonged standing;Compression support;Leg elevation"
puffy_face_and_eyes,"Reduce salt intake;Hydrate;Adequate sleep"
enlarged_thyroid,"Monitor iodine intake;Regular follow-up;Balanced diet"
brittle_nails,"Protein-rich diet;Hydration;Avoid harsh chemicals"
swollen_extremeties,"Elevate limbs;Reduce salt;Gentle movement"
excessive_hunger,"High-fiber meals;Protein snacks;Monitor glucose"
extra_marital_contacts,"Practice safe sex;Regular STI screening;Consult doctor"
drying_and_tingling_lips,"Hydrate;Use lip moisturizer;Avoid irritants"
slurred_speech,"Seek immediate medical care;Do not delay;Keep patient safe"
knee_pain,"Weight management;Warm compress;Low-impact exercise"
hip_joint_pain,"Gentle stretching;Warm compress;Avoid high-impact activity"
muscle_weakness,"Protein intake;Light strength exercises;Rest"
stiff_neck,"Warm compress;Neck stretches;Ergonomic posture"
swelling_joints,"Rest joint;Cold compress;Elevation"
movement_stiffness,"Regular gentle mobility exercises;Warm-up routine;Hydration"
spinning_movements,"Sit or lie down safely;Avoid sudden head movement;Hydration"
loss_of_balance,"Use support while walking;Hydrate;Avoid risky movement"
unsteadiness,"Sit and rest;Hydration;Monitor recurrent episodes"
weakness_of_one_body_side,"Immediate emergency care;Do not delay treatment;Keep airway clear"
loss_of_smell,"Steam inhalation;Nasal saline rinse;Hydration"
bladder_discomfort,"Hydrate;Avoid caffeine;Urinate regularly"
foul_smell_of_urine,"Increase water intake;Maintain hygiene;Doctor test if persistent"
continuous_feel_of_urine,"Hydrate;Avoid bladder irritants;Doctor evaluation"
passage_of_gases,"Eat slowly;Avoid gas-forming foods;Light walk"
internal_itching,"Hydrate skin;Avoid allergens;Doctor review if persistent"
toxic_look_typhos,"Immediate medical care;Hydration support;Strict rest"
depression,"Daily routine;Physical activity;Talk to support network"
irritability,"Stress reduction;Sleep hygiene;Breathing exercises"
muscle_pain,"Warm compress;Gentle stretching;Hydration"
red_spots_over_body,"Avoid scratching;Cool compress;Medical review if spreading"
belly_pain,"Light diet;Warm compress;Hydrate"
abnormal_menstruation,"Track cycle;Hydrate;Gynecologist consult if persistent"
dischromic_patches,"Sun protection;Gentle skin care;Dermatology consult"
watering_from_eyes,"Cold compress;Avoid allergens;Use clean eye rinse"
increased_appetite,"Balanced meal planning;High-fiber foods;Hydration"
polyuria,"Hydrate and monitor urine frequency;Reduce sugary drinks;Doctor check"
family_history,"Maintain healthy lifestyle;Regular screening;Preventive checkups"
mucoid_sputum,"Steam inhalation;Warm fluids;Avoid smoke"
rusty_sputum,"Hydrate;Rest;Prompt doctor consultation"
lack_of_concentration,"Sleep optimization;Hydration;Task breaks"
visual_disturbances,"Eye rest;Good lighting;Doctor check if persistent"
receiving_blood_transfusion,"Regular screening;Follow medical advice;Monitor for symptoms"
receiving_unsterile_injections,"Seek screening tests;Avoid reuse of needles;Doctor consultation"
coma,"Emergency response immediately;Keep airway open;Call ambulance"
stomach_bleeding,"Emergency medical care;Do not self-medicate;Hydration support"
distention_of_abdomen,"Small frequent meals;Avoid gas foods;Medical evaluation"
history_of_alcohol_consumption,"Stop alcohol intake;Hydrate;Liver function check"
blood_in_sputum,"Urgent medical consultation;Avoid exertion;Hydration"
prominent_veins_on_calf,"Leg elevation;Compression support;Avoid prolonged standing"
palpitations,"Deep breathing;Reduce caffeine;Hydration"
painful_walking,"Rest;Supportive footwear;Warm compress"
pus_filled_pimples,"Keep skin clean;Avoid picking pimples;Use non-comedogenic products"
blackheads,"Gentle face cleansing;Avoid oily cosmetics;Use salicylic acid wash"
scurring,"Keep scalp clean;Use anti-fungal/anti-dandruff shampoo;Avoid harsh chemicals"
skin_peeling,"Moisturize regularly;Avoid irritants;Hydrate"
silver_like_dusting,"Use moisturizer;Gentle skin care;Dermatology consult"
small_dents_in_nails,"Keep nails moisturized;Avoid trauma;Nutrient-rich diet"
inflammatory_nails,"Keep nails clean;Avoid chemical irritants;Dermatology consult"
blister,"Keep clean and dry;Do not burst blister;Cover with sterile dressing"
red_sore_around_nose,"Gentle cleansing;Avoid touching area;Use prescribed topical care"
yellow_crust_ooze,"Clean with mild antiseptic;Keep area dry;Medical review"
